rank,site,kind,theorems_dominated,area,eligible,chain_length,chain,constant_alone
54,CategoryTheory.MorphismProperty.instCompleteBooleanAlgebra,definition,284,category theory,true,1,CategoryTheory.MorphismProperty.instCompleteBooleanAlgebra,
55,Real.instLT,definition,283,Real,true,4,Real.definition._@.Mathlib.Data.Real.Basic.1175651576._hygCtx._hyg.8 > Real.wrapped._@.Mathlib.Data.Real.Basic.1175651576._hygCtx._hyg.8 > _private.Mathlib.Data.Real.Basic.0.Real.lt > Real.instLT,282
56,LinearEquiv.ofBijective,definition,281,LinearEquiv,true,1,LinearEquiv.ofBijective,
57,IsLocallyConstant.tfae,theorem,279,IsLocallyConstant,true,3,isOpen_iff_forall_mem_open > IsLocallyConstant.tfae > IsLocallyConstant.iff_eventually_eq,278
58,zpow_ne_zero,theorem,279,order / root namespace,true,1,zpow_ne_zero,
59,Set.biInter_range,theorem,270,sets,true,1,Set.biInter_range,
60,Std.DTreeMap.Internal.Impl.WF.ordered,theorem,266,Std: other,true,1,Std.DTreeMap.Internal.Impl.WF.ordered,
61,FreeAlgebra.lift._proof_4,theorem,263,FreeAlgebra,true,1,FreeAlgebra.lift._proof_4,
62,DFinsupp.zipWith,definition,262,DFinsupp,true,2,DFinsupp.zipWith._proof_4 > DFinsupp.zipWith,261
63,eq_or_ne,theorem,260,order / root namespace,true,1,eq_or_ne,
64,Equiv.ofBijective,definition,258,Equiv,true,1,Equiv.ofBijective,
65,Equiv.Perm.permGroup,definition,250,Equiv,true,1,Equiv.Perm.permGroup,
66,List.nodup_finRange,theorem,244,lists,true,1,List.nodup_finRange,
67,NNReal,definition,243,NNReal,true,1,NNReal,
68,Set.forall_mem_image2,theorem,239,sets,true,2,_private.Mathlib.Data.Set.NAry.0.Set.forall_mem_image2._proof_1_1 > Set.forall_mem_image2,238
69,Subsemigroup.center,definition,238,Subsemigroup,true,1,Subsemigroup.center,
70,List.Perm.union,theorem,237,lists,true,5,List.perm_insert_swap > List.Perm.union_right > List.Perm.union > Multiset.ndunion._proof_1 > Multiset.ndunion,235
71,List.min?_eq_some_iff,theorem,237,lists,true,2,Std.instMinEqOrOfLawfulOrderLeftLeaningMin > List.min?_eq_some_iff,236
72,Int.natCast_eq_zero,theorem,236,Int,true,2,_private.Init.Data.Int.DivMod.Lemmas.0.Int.natCast_eq_zero._proof_1_1 > Int.natCast_eq_zero,235
73,Classical.choose,definition,232,classical logic,true,1,Classical.choose,
74,SeminormedAddCommGroup.toIsTopologicalAddGroup,theorem,231,SeminormedAddCommGroup,true,1,SeminormedAddCommGroup.toIsTopologicalAddGroup,
75,isOpen_iff_nhds,theorem,230,order / root namespace,true,1,isOpen_iff_nhds,
76,Classical.or_iff_not_imp_left,theorem,230,classical logic,true,1,Classical.or_iff_not_imp_left,
77,List.min?_eq_some_iff_subtype,theorem,228,lists,true,2,List.min?_eq_some_iff_subtype > Std.Internal.List.minEntry?_eq_some_iff,
78,Nat.testBit_two_pow_sub_one,theorem,224,Nat,true,1,Nat.testBit_two_pow_sub_one,
79,isOpen_iff_mem_nhds,theorem,223,order / root namespace,true,1,isOpen_iff_mem_nhds,
80,and_forall_ne,theorem,215,order / root namespace,true,2,and_forall_ne > Function.forall_update_iff,
81,TensorAlgebra.lift,definition,211,TensorAlgebra,true,1,TensorAlgebra.lift,
82,Array.getElem_extract,theorem,202,arrays,true,2,Array.getElem_extract_loop_ge > Array.getElem_extract,201
83,IsStrictOrderedRing.toIsOrderedRing,theorem,202,IsStrictOrderedRing,true,1,IsStrictOrderedRing.toIsOrderedRing,
84,CategoryTheory.Iso.refl,definition,200,category theory,true,3,_private.Mathlib.CategoryTheory.Iso.0.CategoryTheory.Iso.refl._proof_1 > CategoryTheory.Iso.refl._proof_2 > CategoryTheory.Iso.refl,198
85,InfHomClass.toOrderHomClass,theorem,198,InfHomClass,true,4,_private.Mathlib.Order.Hom.Basic.0.OrderHomClass._proof_2 > OrderHomClass._proof_3 > OrderHomClass._to_dual_cast_4 > InfHomClass.toOrderHomClass,195
86,CommGroupWithZero.toDivisionCommMonoid,definition,198,CommGroupWithZero,true,1,CommGroupWithZero.toDivisionCommMonoid,
87,MonoidHom.mrange._proof_1,theorem,197,MonoidHom,true,1,MonoidHom.mrange._proof_1,
88,HomologicalComplex.Hom.comm,theorem,196,HomologicalComplex,true,1,HomologicalComplex.Hom.comm,
89,Multiset.eq_zero_of_forall_notMem,theorem,196,multisets,true,1,Multiset.eq_zero_of_forall_notMem,
90,Equiv.symm_apply_eq,theorem,196,Equiv,true,2,_private.Mathlib.Logic.Equiv.Defs.0.Equiv.symm_apply_eq._proof_1_2 > Equiv.symm_apply_eq,195
91,Equiv.apply_eq_iff_eq_symm_apply,theorem,194,Equiv,true,2,_private.Mathlib.Logic.Equiv.Defs.0.Equiv.apply_eq_iff_eq_symm_apply._proof_1_2 > Equiv.apply_eq_iff_eq_symm_apply,193
92,IsLeftCancelAdd.addLeftReflectLE_of_addLeftReflectLT,theorem,194,IsLeftCancelAdd,true,1,IsLeftCancelAdd.addLeftReflectLE_of_addLeftReflectLT,
93,Int.natCast_eq_zero._simp_1,theorem,193,Int,true,1,Int.natCast_eq_zero._simp_1,
94,Int.natAbs_ediv,theorem,191,Int,true,2,Int.natAbs_ediv > Int.natAbs_ediv_of_dvd,
95,SimpleGraph.edgeSet,definition,190,SimpleGraph,true,2,SimpleGraph.edgeSetEmbedding > SimpleGraph.edgeSet,186
96,Nat.cast_nonneg',theorem,188,Nat,true,1,Nat.cast_nonneg',
97,by_contradiction,theorem,186,order / root namespace,true,1,by_contradiction,
98,MonoidHom.mrange,definition,186,MonoidHom,true,1,MonoidHom.mrange,
99,Fin.fintype,definition,185,Fin,true,1,Fin.fintype,
100,AlgebraicGeometry.LocallyRingedSpace.instCategory,definition,184,AlgebraicGeometry,true,1,AlgebraicGeometry.LocallyRingedSpace.instCategory,
101,Nonempty.some,definition,183,Nonempty,true,1,Nonempty.some,
102,by_contra,theorem,178,order / root namespace,true,1,by_contra,
103,Real.instZero,definition,176,Real,true,4,Real.definition._@.Mathlib.Data.Real.Basic.1850581184._hygCtx._hyg.8 > Real.wrapped._@.Mathlib.Data.Real.Basic.1850581184._hygCtx._hyg.8 > _private.Mathlib.Data.Real.Basic.0.Real.zero > Real.instZero,
104,Rat.normalize.reduced,theorem,175,Rat,true,1,Rat.normalize.reduced,
105,Finset.range,definition,172,finsets,true,2,Multiset.nodup_range > Finset.range,169
106,not_imp_not,theorem,171,order / root namespace,true,1,not_imp_not,
107,instTopologicalSpaceProd,definition,171,order / root namespace,true,1,instTopologicalSpaceProd,
108,RingHom.rangeS,definition,170,RingHom,true,2,RingHom.rangeS._proof_1 > RingHom.rangeS,168
109,ENNReal,definition,170,ENNReal,true,1,ENNReal,
110,add_pow_expChar_of_commute,theorem,169,order / root namespace,true,2,Commute.exists_add_pow_prime_eq > add_pow_expChar_of_commute,167
111,lt_iff_not_gt_and_ne_of_antisymm_of_total_of_not_le,theorem,167,order / root namespace,true,2,_private.Init.Data.Ord.Basic.0.lt_iff_not_gt_and_ne_of_antisymm_of_total_of_not_le._simp_1_1 > lt_iff_not_gt_and_ne_of_antisymm_of_total_of_not_le,166
112,AlgebraicGeometry.Scheme.instCategory,definition,165,AlgebraicGeometry,true,1,AlgebraicGeometry.Scheme.instCategory,
113,continuous_iff_continuousAt,theorem,164,order / root namespace,true,1,continuous_iff_continuousAt,
114,not_and_or,theorem,163,order / root namespace,true,1,not_and_or,
115,CategoryTheory.Iso.symm,definition,163,category theory,true,1,CategoryTheory.Iso.symm,
116,HomologicalComplex.comp._proof_2,theorem,160,HomologicalComplex,true,1,HomologicalComplex.comp._proof_2,
117,BitVec.getElem_allOnes,theorem,160,BitVec,true,1,BitVec.getElem_allOnes,
118,Std.IterM.toList,definition,158,Std: other,true,1,Std.IterM.toList,
119,HomologicalComplex.instCategory,definition,155,HomologicalComplex,true,1,HomologicalComplex.instCategory,
120,Classical.or_iff_not_imp_right,theorem,154,classical logic,true,1,Classical.or_iff_not_imp_right,
121,Set.sUnion_image,theorem,153,sets,true,1,Set.sUnion_image,
122,DerivingHelpers.deriving_lawful_beq_helper_nd,theorem,152,DerivingHelpers,true,1,DerivingHelpers.deriving_lawful_beq_helper_nd,
123,Real.instLE,definition,152,Real,true,4,Real.definition._@.Mathlib.Data.Real.Basic.702802587._hygCtx._hyg.8 > Real.wrapped._@.Mathlib.Data.Real.Basic.702802587._hygCtx._hyg.8 > _private.Mathlib.Data.Real.Basic.0.Real.le > Real.instLE,151
124,frobenius,definition,151,order / root namespace,true,2,add_pow_expChar > frobenius,148
125,CategoryTheory.GrothendieckTopology.instDFunLikeSetSieve,definition,151,category theory,true,2,CategoryTheory.GrothendieckTopology.instDFunLikeSetSieve._proof_1 > CategoryTheory.GrothendieckTopology.instDFunLikeSetSieve,150
126,Nat.mul_lt_mul_left._simp_1,theorem,150,Nat,true,1,Nat.mul_lt_mul_left._simp_1,
127,Multiset.eq_zero_iff_forall_notMem,theorem,150,multisets,true,1,Multiset.eq_zero_iff_forall_notMem,
128,Int.tdiv_eq_ediv,theorem,147,Int,true,1,Int.tdiv_eq_ediv,
129,Set.sUnion_eq_biUnion,theorem,145,sets,true,1,Set.sUnion_eq_biUnion,
130,Std.TransOrd.compareOfLessAndEq_of_antisymm_of_trans_of_total_of_not_le,theorem,143,Std: other,true,1,Std.TransOrd.compareOfLessAndEq_of_antisymm_of_trans_of_total_of_not_le,
131,Std.Iter.toList,definition,143,Std: other,true,1,Std.Iter.toList,
132,Nonneg.natCast,definition,142,Nonneg,true,1,Nonneg.natCast,
133,Int.natCast_dvd_natCast,theorem,142,Int,true,1,Int.natCast_dvd_natCast,
134,Multiset.disjoint_left,theorem,141,multisets,true,1,Multiset.disjoint_left,
135,CliffordAlgebra.lift,definition,140,CliffordAlgebra,true,1,CliffordAlgebra.lift,
136,Submonoid.instCompleteLattice._proof_1,theorem,139,Submonoid,true,1,Submonoid.instCompleteLattice._proof_1,
137,List.filter_eq_nil_iff,theorem,137,lists,true,2,_private.Init.Data.List.Lemmas.0.List.filter_eq_nil_iff._simp_1_1 > List.filter_eq_nil_iff,136
138,Set.preimage_sUnion,theorem,135,sets,true,2,Set.preimage_sUnion > TopologicalSpace.coinduced._proof_1,
139,Filter.mem_inf_principal,theorem,135,filters,true,1,Filter.mem_inf_principal,
140,Finset.sum_eq_single,theorem,132,finsets,true,1,Finset.sum_eq_single,
141,Nonneg.semiring,definition,131,Nonneg,true,1,Nonneg.semiring,
142,Subgroup.instCompleteLattice,definition,131,Subgroup,true,1,Subgroup.instCompleteLattice,
143,SimpleGraph.completeAtomicBooleanAlgebra,definition,131,SimpleGraph,true,1,SimpleGraph.completeAtomicBooleanAlgebra,
144,Algebra.instCompleteLatticeSubalgebra,definition,130,Algebra,true,1,Algebra.instCompleteLatticeSubalgebra,
145,String.Pos.Raw.get,definition,130,strings,true,1,String.Pos.Raw.get,
146,CategoryTheory.Cat.bicategory,definition,130,category theory,true,1,CategoryTheory.Cat.bicategory,
147,BoundedLatticeHom.toBoundedOrderHom,definition,129,BoundedLatticeHom,true,2,BoundedLatticeHom.toBoundedOrderHom._proof_1 > BoundedLatticeHom.toBoundedOrderHom,127
148,Submonoid.instCompleteLattice,definition,128,Submonoid,true,1,Submonoid.instCompleteLattice,
149,Exists.choose,definition,128,Exists,true,1,Exists.choose,
150,Submonoid.powers,definition,128,Submonoid,true,1,Submonoid.powers,
151,Filter.instCoframe,definition,128,filters,true,1,Filter.instCoframe,
152,Set.Finite.fintype,definition,127,sets,true,1,Set.Finite.fintype,
153,Classical.axiomOfChoice,theorem,126,classical logic,true,1,Classical.axiomOfChoice,
154,Lean.FVarIdMap,definition,125,Lean,true,1,Lean.FVarIdMap,
155,AddSubmonoid.closure_le,theorem,125,AddSubmonoid,true,1,AddSubmonoid.closure_le,
156,Classical.arbitrary,definition,125,classical logic,true,1,Classical.arbitrary,
157,Std.DHashMap.Internal.Raw.foldRev_cons_key,theorem,124,Std: hash maps,true,2,Std.DHashMap.Internal.Raw.foldRev_cons_key > Std.DHashMap.Internal.Raw.keys_eq_keys_toListModel,
158,Function.Injective.mem_set_image,theorem,123,Function,true,2,_private.Mathlib.Data.Set.Image.0.Function.Injective.mem_set_image._proof_1_3 > Function.Injective.mem_set_image,122
159,ContinuousLinearMap.semiring,definition,123,ContinuousLinearMap,true,1,ContinuousLinearMap.semiring,
160,ContDiffWithinAt,definition,122,ContDiffWithinAt,true,1,ContDiffWithinAt,
161,Array.getElem_ofFn,theorem,122,arrays,true,2,_private.Init.Data.Array.Lemmas.0.Array.getElem_ofFn_go > Array.getElem_ofFn,121
162,continuous_const,theorem,121,order / root namespace,true,1,continuous_const,
163,IsUnit.liftRight,definition,120,IsUnit,true,1,IsUnit.liftRight,
164,BitVec.getElem_not,theorem,118,BitVec,true,1,BitVec.getElem_not,
165,BoundedLatticeHom.comp,definition,118,BoundedLatticeHom,true,1,BoundedLatticeHom.comp,
166,Units.mk0,definition,118,Units,true,1,Units.mk0,
167,Set.image_mono,theorem,117,sets,true,2,_private.Mathlib.Data.Set.Image.0.Set.image_mono._proof_1_1 > Set.image_mono,116
168,Fin.castSucc_lt_or_lt_succ,theorem,116,Fin,true,2,_private.Mathlib.Data.Fin.SuccPred.0.Fin.castSucc_lt_or_lt_succ._proof_1_2 > Fin.castSucc_lt_or_lt_succ,115
169,Finsupp.mapRange,definition,116,Finsupp,true,1,Finsupp.mapRange,
170,not_iff_not,theorem,116,order / root namespace,true,1,not_iff_not,
171,Equiv.eq_symm_apply,theorem,115,Equiv,true,2,_private.Mathlib.Logic.Equiv.Defs.0.Equiv.eq_symm_apply._proof_1_2 > Equiv.eq_symm_apply,114
172,Multiset.dedup,definition,115,multisets,true,3,List.Perm.dedup > Multiset.dedup._proof_1 > Multiset.dedup,113
173,Std.DHashMap.Internal.Raw.foldRev_cons_mk,theorem,114,Std: hash maps,true,2,Std.DHashMap.Internal.Raw.foldRev_cons_mk > Std.DHashMap.Internal.Raw.Const.toList_eq_toListModel_map,
174,Nat.lt_of_mul_lt_mul_left,theorem,114,Nat,true,1,Nat.lt_of_mul_lt_mul_left,
175,Lean.LocalContext._sizeOf_1,definition,113,Lean,true,2,Lean.LocalContext._sizeOf_1 > Lean.LocalContext._sizeOf_inst,
176,TopologicalSpace.induced._proof_2,theorem,113,TopologicalSpace,true,1,TopologicalSpace.induced._proof_2,
177,Int.instTransOrd,theorem,112,Int,true,1,Int.instTransOrd,
178,String.endPos,definition,112,strings,true,7,Array.extract_eq_self_iff > Array.extract_eq_self_iff._simp_1 > ByteArray.extract_zero_size > String.Pos.Raw.isValid_rawEndPos > String.Pos.Raw.isValid_rawEndPos._simp_1 > String.endPos._proof_1 > String.endPos,103
179,Filter.atTop_basis,theorem,112,filters,true,3,Filter.HasAntitoneBasis.iInf_principal > Filter.hasAntitoneBasis_atTop > Filter.atTop_basis,110
180,TopologicalSpace.coinduced,definition,112,TopologicalSpace,true,1,TopologicalSpace.coinduced,
181,Finsupp.zipWith,definition,110,Finsupp,true,1,Finsupp.zipWith,
182,Filter.map₂,definition,110,filters,true,1,Filter.map₂,
183,TopologicalSpace.Opens.instCompleteLattice,definition,110,TopologicalSpace,true,1,TopologicalSpace.Opens.instCompleteLattice,
184,Pi.topologicalSpace,definition,110,Pi,true,1,Pi.topologicalSpace,
185,TopologicalSpace.induced,definition,108,TopologicalSpace,true,1,TopologicalSpace.induced,
186,AddSubgroup.instCompleteLattice,definition,108,AddSubgroup,true,1,AddSubgroup.instCompleteLattice,
187,nhdsWithin_univ,theorem,107,order / root namespace,true,1,nhdsWithin_univ,
188,Multiset.disjoint_iff_ne,theorem,106,multisets,true,2,_private.Mathlib.Data.Multiset.UnionInter.0.Multiset.disjoint_iff_ne._simp_1_1 > Multiset.disjoint_iff_ne,105
189,Nat.strictMono_cast,theorem,106,Nat,true,1,Nat.strictMono_cast,
190,Finset.singleton_subset_iff,theorem,106,finsets,true,3,_private.Mathlib.Data.Finset.Insert.0.Finset.singleton_subset_set_iff._proof_1_1 > Finset.singleton_subset_set_iff > Finset.singleton_subset_iff,104
191,List.erase_eq_eraseP,theorem,105,lists,true,2,List.erase_eq_eraseP._f > List.erase_eq_eraseP,
192,String.extract,definition,104,strings,true,3,String.Pos.isValidUTF8_extract > String.extract > String.Slice.copy,103
193,IsTensorProduct.equiv,definition,103,IsTensorProduct,true,1,IsTensorProduct.equiv,
194,Real.commRing,definition,103,Real,true,1,Real.commRing,
195,DFinsupp.instAdd,definition,102,DFinsupp,true,1,DFinsupp.instAdd,
196,le_iff_lt_or_eq,theorem,102,order / root namespace,true,1,le_iff_lt_or_eq,
197,ContDiffWithinAtProp,definition,102,ContDiffWithinAtProp,true,1,ContDiffWithinAtProp,
198,BitVec.toNat_not,theorem,102,BitVec,true,1,BitVec.toNat_not,
199,Filter.map_mono,theorem,102,filters,true,1,Filter.map_mono,
200,Iff.not_right,theorem,102,Iff,true,1,Iff.not_right,
201,Turing.BlankRel.trans,theorem,101,Turing,true,4,_private.Mathlib.Computability.TuringMachine.Tape.0.Turing.BlankRel.trans._proof_1_2 > Turing.BlankRel.trans > Turing.BlankRel.equivalence > Turing.BlankRel.setoid,100
202,AffineEquiv.symm,definition,101,AffineEquiv,true,2,AffineEquiv.symm._proof_2 > AffineEquiv.symm,100
203,Lean.Json._sizeOf_1,definition,100,Lean,true,2,Lean.Json._sizeOf_1 > Lean.Json._sizeOf_inst,
204,integralClosure,definition,100,order / root namespace,true,1,integralClosure,
205,TopologicalSpace.instCompleteLattice,definition,100,TopologicalSpace,true,1,TopologicalSpace.instCompleteLattice,
206,IsRightCancelMulZero.to_noZeroDivisors,theorem,99,IsRightCancelMulZero,true,1,IsRightCancelMulZero.to_noZeroDivisors,
207,Set.image_singleton,theorem,99,sets,true,2,_private.Mathlib.Data.Set.Image.0.Set.image_singleton._proof_1_1 > Set.image_singleton,98
208,CategoryTheory.monoidalCategoryOp,definition,98,category theory,true,1,CategoryTheory.monoidalCategoryOp,
209,Rat.mul,definition,97,Rat,true,5,Int.ediv_eq_tdiv > Int.divExact_eq_tdiv > Rat.mul._proof_3 > Rat.mul > Rat.instMul,94
210,Submonoid.coe_iInf,theorem,97,Submonoid,true,1,Submonoid.coe_iInf,
211,Finset.disjSum,definition,97,finsets,true,3,Multiset.Nodup.disjSum > Finset.disjSum._proof_1 > Finset.disjSum,94
212,MonoidHom.range,definition,96,MonoidHom,true,2,MonoidHom.range._proof_1 > MonoidHom.range,94
213,Nat.right_eq_add,theorem,95,Nat,true,2,_private.Init.Data.Nat.Lemmas.0.Nat.right_eq_add._proof_1_1 > Nat.right_eq_add,94
214,BitVec.toInt_signExtend_of_le,theorem,95,BitVec,true,1,BitVec.toInt_signExtend_of_le,
215,NonUnitalSubsemiring.center,definition,95,NonUnitalSubsemiring,true,1,NonUnitalSubsemiring.center,
216,Lean.Elab.Tactic.nonempty_to_inhabited,definition,95,Lean,true,1,Lean.Elab.Tactic.nonempty_to_inhabited,
217,Subgroup.instInfSet._proof_1,theorem,93,Subgroup,true,1,Subgroup.instInfSet._proof_1,
218,not_isMax_iff,theorem,93,order / root namespace,true,1,not_isMax_iff,
219,ContMDiffWithinAt,definition,93,ContMDiffWithinAt,true,1,ContMDiffWithinAt,
220,Std.DTreeMap.Internal.Impl.insert,definition,92,Std: other,true,2,Std.DTreeMap.Internal.Impl.insert._f > Std.DTreeMap.Internal.Impl.insert,
221,Nat.right_eq_add._simp_1,theorem,91,Nat,true,1,Nat.right_eq_add._simp_1,
222,Real.partialOrder,definition,91,Real,true,1,Real.partialOrder,
223,BitVec.getLsbD_signExtend,theorem,90,BitVec,true,2,BitVec.getLsbD_signExtend > BitVec.getElem_signExtend,
224,le_sup_iff,theorem,90,order / root namespace,true,2,_private.Mathlib.Order.Lattice.0.le_sup_iff._proof_1_1 > le_sup_iff,89
225,Set.nonempty_iff_ne_empty,theorem,90,sets,true,1,Set.nonempty_iff_ne_empty,
226,Std.Internal.List.minKey?_eq_some_iff_getKey?_eq_self_and_forall,theorem,90,Std: other,true,1,Std.Internal.List.minKey?_eq_some_iff_getKey?_eq_self_and_forall,
227,IsAddUnit.addUnit,definition,90,IsAddUnit,true,1,IsAddUnit.addUnit,
228,Std.Trichotomous.rel_or_eq_or_rel_swap,theorem,89,Std: other,true,1,Std.Trichotomous.rel_or_eq_or_rel_swap,
229,Std.DHashMap.Internal.Raw.foldRev_cons,theorem,89,Std: hash maps,true,2,Std.DHashMap.Internal.Raw.foldRev_cons > Std.DHashMap.Internal.Raw.toList_eq_toListModel,
230,instFintypeSignType,definition,89,order / root namespace,true,3,_private.Mathlib.Data.Sign.Defs.0._proof_18 > SignType.enumList_nodup > instFintypeSignType,86
231,List.getElem_mapFinIdx,theorem,89,lists,true,2,List.getElem_mapFinIdx_go > List.getElem_mapFinIdx,88
232,PFunctor.Approx.head_succ',theorem,89,category theory,true,1,PFunctor.Approx.head_succ',
233,instFunLikeContRepresentationContinuousLinearMapId,definition,89,order / root namespace,true,1,instFunLikeContRepresentationContinuousLinearMapId,
234,Subgroup.instInfSet,definition,89,Subgroup,true,1,Subgroup.instInfSet,
235,CategoryTheory.monoidalCategoryMop,definition,89,category theory,true,1,CategoryTheory.monoidalCategoryMop,
236,Module.involutive_preReflection,theorem,88,Module,true,1,Module.involutive_preReflection,
